diet	replicate	weight_mg_fly	tag_ug_fly	protein_ug_fly	tag_protein
1	CD	1	0.92	9.308232	85.410168	0.108982715
2	CD	2	0.44	7.55032	53.341392	0.141547112
3	CD	3	0.38	5.01487	45.625064	0.109914805
4	CD	4	0.98	7.651738	50.297336	0.152130085
5	CD	5	0.74	8.023604	49.447832	0.16226402
6	CD	6	0.02	5.319124	51.359216	0.103567079
7	CD	7	1.34	12.249354	52.91664	0.231483972
8	CD	8	0.24	4.102108	51.713176	0.079324233
9	CD	9	1.12	4.237332	56.527032	0.074961162
10	CD	10	1.24	5.217706	47.678032	0.10943627
11	CD	11	1.88	9.003978	48.102784	0.187182056
12	CD	12	1.9	5.792408	49.093872	0.117986375
13	FD S24Y3	1	1.54	10.08577	54.544856	0.184907812
14	FD S24Y3	2	1.56	17.793538	33.944384	0.524196816
15	FD S24Y3	3	1.3	18.469658	50.368128	0.366693358
16	FD S24Y3	4	0.84	14.750998	44.633976	0.330488102
17	FD S24Y3	5	0.62	18.469658	30.192408	0.611731863
18	FD S24Y3	6	1.12	8.361664	44.492392	0.187934692
19	FD S24Y3	7	0.3	15.393312	53.058224	0.290121132
20	FD S24Y3	8	1.16	16.035626	50.509712	0.317476093
21	FD S24Y3	9	0.6	7.955992	48.031992	0.165639435
22	FD S24Y3	10	1.36	10.2548	54.33248	0.188741615
23	FD S24Y3	11	0.78	13.97346	78.968096	0.176950702
24	FD S24Y3	12	1.56	7.753156	41.23596	0.188019292
25	FD S30Y3	1	0.28	11.539428	46.120608	0.250201125
26	FD S30Y3	2	0.86	7.922186	41.660712	0.19015964
27	FD S30Y3	3	1.14	15.66376	36.422104	0.430061921
28	FD S30Y3	4	0.96	16.542716	33.8028	0.489388926
29	FD S30Y3	5	0.64	14.31152	37.200816	0.384709841
30	FD S30Y3	6	0.96	16.238462	40.882	0.397203219
31	FD S30Y3	7	0.78	16.542716	54.33248	0.304471948
32	FD S30Y3	8	2.22	11.471816	52.491888	0.218544549
33	FD S30Y3	9	1.68	8.327858	48.173576	0.172871908
34	FD S30Y3	10	0.3	9.815322	61.624056	0.159277442
35	FD S30Y3	11	1.2	13.97346	44.846352	0.31158521
36	FD S30Y3	12	1.42	12.181742	40.952792	0.297458156
37	FD SY10	1	0.8	25.602724	57.588912	0.444577317
38	FD SY10	2	1.52	14.64958	61.340888	0.238822431
39	FD SY10	3	1.96	19.38242	57.093368	0.339486366
40	FD SY10	4	0.92	15.49473	51.713176	0.29962828
41	FD SY10	5	0.36	17.286448	51.14684	0.337976853
42	FD SY10	6	1.78	16.948388	56.385448	0.300580887
43	FD SY10	7	0.22	12.79025	108.275984	0.11812638
44	FD SY10	8	1.7	18.435852	61.482472	0.299855412
45	FD SY10	9	0.86	15.089058	60.70376	0.248568754
46	FD SY10	10	0.98	12.046518	60.845344	0.197985864
47	FD SY10	11	1.1	14.784804	99.2854	0.148912166
48	FD SY10	12	1	11.809876	72.03048	0.163956647
